,bitcount,blowfish,bzip2,crc32,dijkstra,gsm,jpeg-c,jpeg-d,patricia,qsort,sha,stringsearch,stringsearch2,susan,tiff2bw,tiff2rgba,tiffdither,tiffmedian
0,715415001,974620,239822885,5323298,263784,117424519,18538380,6015677,625339,188661425,454556,526616,21272468,60499011,7137666,13417662,6028084,12216531
1,715415001,974620,239822885,5323298,263784,117424519,18538380,6015677,625339,188661425,454556,526616,21272468,60499011,7137666,13417662,6028084,12216531
2,829502741,978608,244527607,5323310,263784,114936240,18629664,5996859,618499,187989011,455615,543991,21040641,60483016,7268510,13148793,6073308,12170211
3,669980356,804606,230934824,4551180,263126,64782832,13141033,3823495,590664,158796132,415699,505610,17711403,35847872,4809559,12505448,4417026,7787454
4,669980358,804567,278683075,4551182,262826,64921777,13363280,3840039,588831,158796134,415701,502604,17707386,45778741,4835240,12369553,4287038,7455535
5,669980358,804567,278683075,4551182,262826,64921777,13363280,3840039,588831,158796134,415701,502604,17707386,45778741,4835240,12369553,4287038,7455535
6,669980358,804567,278683075,4551182,262826,64921777,13363280,3840039,588831,158796134,415701,502604,17707386,45778741,4835240,12369553,4287038,7455535
7,669980358,804567,278365455,4551182,262826,64921770,13363262,3848853,588831,158796134,415949,502604,17707386,45778741,4834623,12369551,4287457,7455291
8,669980358,804567,278365455,4551182,262826,64921770,13363262,3848853,588831,158796134,415949,502604,17707386,45778741,4834623,12369551,4287457,7455291
9,669980386,804571,278365475,4551194,262826,64921753,13363262,3848841,588831,158796134,415949,502604,17707386,45778741,4834623,12369551,4287446,7455287
10,669980386,804571,278365475,4551194,262826,64921753,13363262,3848841,588831,158796134,415949,502604,17707386,45778741,4834623,12369551,4287446,7455287
11,669980386,804571,278365462,4551194,262826,64907302,13363266,3848841,588831,158796134,415894,502604,17707386,45778741,4834610,12369541,4287455,7455285
12,560392321,751477,295134184,4551176,262949,63946673,13403830,3724418,577978,145063136,415899,480221,17246958,44925614,5087981,10897471,4083849,6301345
13,560392321,751481,282852447,4551176,262949,71667983,14405718,3728589,579564,147194223,415899,480221,17247467,44925590,4975254,12796755,4224265,6314630
14,560392321,751481,313609529,4551176,262949,71667983,14405727,3728604,579564,147194223,415907,480221,17247467,44925582,4975256,12796751,4224268,6314621
15,560392380,751481,291932331,4551145,262059,71306588,13782481,3723064,534521,144160534,415917,480268,17931827,44924286,5000465,12791522,4216305,6289949
16,560392380,751481,291932340,4551145,262059,71266016,13782474,3723059,534521,144160534,415925,480268,17931827,44924285,5000408,12791458,4216254,6289898
17,560392380,751481,242386963,4551145,262221,71187635,13873068,3723301,533593,143623489,416187,461851,17940829,44924285,5040213,12831343,4237653,6807905
18,560392380,751429,242386865,4551145,262221,71201388,13873062,3723275,533593,143623489,416187,461851,17940829,44924293,5039840,12840216,4267160,6753821
19,560392380,751429,242218083,4551145,262342,71227074,13873396,3597462,533593,143623489,416179,461654,15307001,44924282,5489974,13293839,4480941,6739912
20,560392380,751429,231749030,4551145,262342,71016796,13873575,3597466,533593,143623489,416187,460725,15307001,44924282,5490509,13331434,4483024,6740238
21,560392380,751429,231749081,4551145,262342,70978877,13884287,3597470,533593,143623489,416187,460725,15307001,44924282,5490517,13331400,4483029,6740243
22,560392380,751439,257868636,4551122,262299,65304373,13882672,3597385,526361,137246063,416187,460725,14631009,44924793,5108767,12930320,4314063,6794425
23,560392380,751439,257868636,4551122,262299,65304373,13882672,3597385,526361,137246063,416151,460725,14631009,44924793,5108767,12930320,4314063,6794425
24,560392380,751439,257868636,4551122,262299,65304373,13882672,3597385,526361,137246063,416187,460725,14631009,44924793,5108767,12930320,4314063,6794425
25,554853419,751439,257868791,4551122,262299,65302905,13882645,3596758,525908,137246063,416177,460725,14631009,44925147,5107073,12929789,4312583,6792665
26,554853419,751439,257868528,4551122,262299,65304041,13882645,3596758,525908,137246063,416146,460725,14631009,44925147,5107075,12929791,4312583,6792667
27,552603419,746165,257868388,4551122,262299,64960265,13949209,3593138,526076,137246063,417417,460725,14631009,44179646,5107105,12929848,4312601,6792709
28,552603419,746165,257868388,4551122,262299,64987699,13949209,3593138,526076,137246063,417409,460725,14631009,44179646,5107105,12929848,4312601,6792709
29,552603419,746165,219685206,4551122,262299,65001690,14061627,3623306,526076,136991177,417425,461670,14631009,44179646,5106940,12930522,4313318,6792150
30,544728406,745860,240211066,4551122,262299,58903819,14044905,3633193,526216,137034050,417661,478330,9004003,45244640,5107143,12958839,4313142,6723027
31,562562915,746821,198020416,4705548,262135,60019874,13768811,3678589,525544,137256675,410485,460393,4307374,45490766,5251387,12239076,4445907,6924459
32,562562993,746821,198020354,4705548,262135,60019874,13703272,3678561,525740,137256675,410485,460869,4531721,45490766,5251366,12239047,4445885,6947304
33,562562953,746821,190926685,4705599,262135,59848050,13778962,3681068,525547,137256675,410483,460774,4112454,45490070,5250968,14091402,4367022,6919723
34,562562960,746821,195458623,4705588,262135,59893268,13705716,3651617,525547,137256675,410475,461719,4104826,44487362,5251412,13682045,4355095,6909538
35,565937861,753312,199860458,4551165,262150,60223285,14705715,3681168,525635,137474711,420691,461499,4099823,42020866,5251878,13553109,4386121,6969960
