,bitcount,blowfish,bzip2,crc32,dijkstra,gsm,jpeg-c,jpeg-d,patricia,qsort,sha,stringsearch,stringsearch2,susan,tiff2bw,tiff2rgba,tiffdither,tiffmedian
0,715414988,974636,239822894,5323298,263781,117424529,18538396,6015655,625336,188661422,454556,526632,21272484,60499014,7137669,13417669,6028100,12216544
1,715414988,974636,239822894,5323298,263781,117424529,18538396,6015655,625336,188661422,454556,526632,21272484,60499014,7137669,13417669,6028100,12216544
2,715414988,974636,239822894,5323298,263781,117424529,18538396,6015655,625336,188661422,454556,526632,21272484,60499014,7137669,13417669,6028100,12216544
3,715414988,974636,239822894,5323298,263781,117424529,18538396,6015655,625336,188661422,454556,526632,21272484,60499014,7137669,13417669,6028100,12216544
4,715414988,974636,239822894,5323298,263781,117424529,18538396,6015655,625336,188661422,454556,526632,21272484,60499014,7137669,13417669,6028100,12216544
5,715414988,974636,239822894,5323298,263781,117424529,18538396,6015655,625336,188661422,454556,526632,21272484,60499014,7137669,13417669,6028100,12216544
6,715414988,974636,239822894,5323298,263781,117424529,18538396,6015655,625336,188661422,454556,526632,21272484,60499014,7137669,13417669,6028100,12216544
7,715414988,974636,239822894,5323298,263781,117424529,18538396,6015655,625336,188661422,454556,526632,21272484,60499014,7137669,13417669,6028100,12216544
8,829502728,978624,244527616,5323310,263781,114936237,18629680,5996837,618496,187989008,455615,544007,21040657,60483019,7268513,13148800,6073324,12170224
9,829502728,978624,244527616,5323310,263781,114936237,18629680,5996837,618496,187989008,455615,544007,21040657,60483019,7268513,13148800,6073324,12170224
10,669980343,804622,230934833,4551180,263123,64782842,13141049,3823473,590661,158796129,415691,505626,17711419,35847875,4809562,12505455,4417042,7787467
11,669980345,804583,278683084,4551182,262823,64921774,13363296,3840017,588828,158796131,415701,502620,17707402,45778744,4835243,12369560,4287054,7455548
12,669980345,804583,278683084,4551182,262823,64921774,13363296,3840017,588828,158796131,415693,502620,17707402,45778744,4835243,12369560,4287054,7455548
13,669980345,804583,278683084,4551182,262823,64921774,13363296,3840017,588828,158796131,415701,502620,17707402,45778744,4835243,12369560,4287054,7455548
14,669980345,804583,278683084,4551182,262823,64921774,13363296,3840017,588828,158796131,415701,502620,17707402,45778744,4835243,12369560,4287054,7455548
15,669980345,804583,278683084,4551182,262823,64921774,13363296,3840017,588828,158796131,415701,502620,17707402,45778744,4835243,12369560,4287054,7455548
16,669980345,804583,278683084,4551182,262823,64921774,13363296,3840017,588828,158796131,415701,502620,17707402,45778744,4835243,12369560,4287054,7455548
17,669980345,804583,278683084,4551182,262823,64921774,13363296,3840017,588828,158796131,415701,502620,17707402,45778744,4835243,12369560,4287054,7455548
18,669980345,804583,278683084,4551182,262823,64921774,13363296,3840017,588828,158796131,415676,502620,17707402,45778744,4835243,12369560,4287054,7455548
19,669980345,804583,278683084,4551182,262823,64921774,13363296,3840017,588828,158796131,415701,502620,17707402,45778744,4835243,12369560,4287054,7455548
20,669980345,804583,278683084,4551182,262823,64921774,13363296,3840017,588828,158796131,415701,502620,17707402,45778744,4835243,12369560,4287054,7455548
21,669980345,804583,278683084,4551182,262823,64921774,13363296,3840017,588828,158796131,415687,502620,17707402,45778744,4835243,12369560,4287054,7455548
22,669980345,804583,278683084,4551182,262823,64921774,13363308,3840016,588828,158796131,415693,502620,17707402,45778744,4835243,12369560,4287054,7455548
23,669980345,804583,278365464,4551182,262823,64921767,13363280,3848830,588828,158796131,415927,502620,17707402,45778744,4834626,12369558,4287473,7455304
24,669980345,804583,278365464,4551182,262823,64921767,13363280,3848830,588828,158796131,415941,502620,17707402,45778744,4834626,12369558,4287473,7455304
25,669980345,804583,278365464,4551182,262823,64921767,13363280,3848830,588828,158796131,415949,502620,17707402,45778744,4834626,12369558,4287473,7455304
26,669980373,804587,278365484,4551194,262823,64921763,13363275,3848835,588828,158796131,415949,502620,17707402,45778744,4834626,12369558,4287462,7455300
27,669980373,804587,278365484,4551194,262823,64921763,13363275,3848835,588828,158796131,415949,502620,17707402,45778744,4834626,12369558,4287462,7455300
28,669980373,804587,278365484,4551194,262823,64921763,13363275,3848835,588828,158796131,415949,502620,17707402,45778744,4834626,12369558,4287462,7455300
29,669980373,804587,278365471,4551194,262823,64907302,13363284,3848818,588828,158796131,415894,502620,17707402,45778744,4834613,12369548,4287471,7455298
30,669980373,804587,278365471,4551194,262823,64907302,13363284,3848818,588828,158796131,415894,502620,17707402,45778744,4834613,12369548,4287471,7455298
31,669980373,804587,278365471,4551194,262823,64907302,13363284,3848818,588828,158796131,415894,502620,17707402,45778744,4834613,12369548,4287471,7455298
32,669980373,804587,278365471,4551194,262823,64907302,13363284,3848818,588828,158796131,415894,502620,17707402,45778744,4834613,12369548,4287471,7455298
33,669980373,804587,278365471,4551194,262823,64907302,13363284,3848818,588828,158796131,415894,502620,17707402,45778744,4834613,12369548,4287471,7455298
34,669980373,804587,278365471,4551194,262823,64907302,13363284,3848818,588828,158796131,415894,502620,17707402,45778744,4834613,12369548,4287471,7455298
35,669980373,804587,278365471,4551194,262823,64907302,13363284,3848818,588828,158796131,415886,502620,17707402,45778744,4834613,12369548,4287471,7455298
36,669980373,804587,278365471,4551194,262823,64907302,13363284,3848818,588828,158796131,415894,502620,17707402,45778744,4834613,12369548,4287471,7455298
37,560392308,751493,295134193,4551176,262946,63946683,13403846,3724384,577975,145063133,415907,480237,17246974,44925617,5087984,10897478,4083865,6301358
38,560392308,751497,282852456,4551176,262946,71667993,14405725,3728556,579561,147194220,415907,480237,17247483,44925593,4975257,12796762,4224281,6314643
39,560392308,751497,282852456,4551176,262946,71667993,14405725,3728556,579561,147194220,415907,480237,17247483,44925593,4975257,12796762,4224281,6314643
40,560392308,751497,282852456,4551176,262946,71667993,14405725,3728556,579561,147194220,415907,480237,17247483,44925593,4975257,12796762,4224281,6314643
41,560392308,751497,313609538,4551176,262946,71667993,14405734,3728571,579561,147194220,415907,480237,17247483,44925585,4975259,12796758,4224284,6314634
42,560392367,751497,291932340,4551145,262056,71306598,13782376,3723026,534518,144160531,415925,480284,17931843,44924289,5000468,12791532,4216321,6289962
43,560392367,751497,291932340,4551145,262056,71306619,13782376,3723026,534518,144160531,415925,480284,17931843,44924289,5000468,12791532,4216321,6289962
44,560392367,751497,291932340,4551145,262056,71306619,13782376,3723026,534518,144160531,415917,480284,17931843,44924289,5000468,12791532,4216321,6289962
45,560392367,751497,291932340,4551145,262056,71306619,13782376,3723026,534518,144160531,415925,480284,17931843,44924289,5000468,12791532,4216321,6289962
46,560392367,751497,291932349,4551145,262056,71266047,13782377,3723054,534518,144160531,415925,480284,17931843,44924288,5000411,12791468,4216270,6289911
47,560392367,751497,291932349,4551145,262056,71266047,13782377,3723054,534518,144160531,415909,480284,17931843,44924288,5000411,12791468,4216270,6289911
